PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_1_DISTANCE,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_2_DISTANCE,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_3_DISTANCE,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_4_DISTANCE,SIMILAR_5_NAME,SIMILAR_5_ID,SIMILAR_5_DISTANCE
Austin Reaves,1630559,Malik Monk,1628370,8.308209926369393,Jamal Murray,1627750,8.981183516447851,Coby White,1629632,9.009631133263433,Collin Sexton,1629012,9.665900892905501,Jaden Ivey,1631093,9.855380493368417
Ayo Dosunmu,1630245,Caris LeVert,1627747,10.713801128494067,Miles McBride,1630540,10.730506281073925,Vít Krejčí,1630249,10.779824337145211,Nikola Jović,1631107,11.592532390717349,Ochai Agbaji,1630534,11.611626528606262
Bam Adebayo,1628389,Alperen Sengun,1630578,11.634957958252281,Evan Mobley,1630596,12.725103085329454,Anthony Davis,203076,13.680198707678938,Karl-Anthony Towns,1626157,14.049874082282612,Domantas Sabonis,1627734,14.67804955530577
Ben Sheppard,1641767,Julian Phillips,1641763,10.962160920735732,John Konchar,1629723,12.020784472522907,Andre Jackson Jr.,1641748,12.07940854118923,Isaac Okoro,1630171,12.15303586200637,Cam Reddish,1629629,12.756420895827004
Ben Simmons,1627732,Russell Westbrook,201566,15.637474435791825,Josh Giddey,1630581,15.951635405032421,Kyle Anderson,203937,16.92171483943308,Andrew Nembhard,1629614,17.3387132850909,Tre Jones,1630200,17.98114650688501
Bennedict Mathurin,1631097,Shaedon Sharpe,1631101,8.49598017514399,Trey Murphy III,1630530,10.921029774464905,Bradley Beal,203078,11.246850683871163,De'Andre Hunter,1629631,11.460420690691794,Devin Vassell,1630170,11.68887596515613
Bilal Coulibaly,1641731,Jaime Jaquez Jr.,1631170,9.017451521708226,Terry Rozier,1626179,9.082455879043886,Brandon Boston,1630527,9.65792943629431,Ricky Council IV,1641741,9.726714445931545,Kelly Oubre Jr.,1626162,9.80050885495909
Bobby Portis,1626171,Pascal Siakam,1627783,10.518426450896275,John Collins,1628381,13.221198472669206,Aaron Gordon,203932,14.15301067767645,Naz Reid,1629675,14.156353747373155,Jeremy Sochan,1631110,14.192070426385431
Bogdan Bogdanović,203992,Simone Fontecchio,1631323,12.794789020991063,Klay Thompson,202691,12.866894687060508,Jordan Hawkins,1641722,13.231337572504811,Moses Moody,1630541,13.24030557250137,Duncan Robinson,1629130,13.290275605829946
Bradley Beal,203078,CJ McCollum,203468,9.078129582688124,Devin Vassell,1630170,9.173003227087015,Shaedon Sharpe,1631101,9.813905448756843,Cameron Johnson,1629661,11.182513571664233,Bennedict Mathurin,1631097,11.246850683871163
Brandin Podziemski,1641764,Andrew Nembhard,1629614,10.304935945728339,Scotty Pippen Jr.,1630590,12.557697395701206,Josh Giddey,1630581,12.571084538509162,Kyle Anderson,203937,12.752632959094354,Tre Jones,1630200,14.730932498459532
Brandon Boston,1630527,Bilal Coulibaly,1641731,9.65792943629431,Terry Rozier,1626179,9.684483159821067,Kelly Oubre Jr.,1626162,10.115865547817432,Keon Johnson,1630553,11.081253533918863,Keldon Johnson,1629640,11.270306789632567
Brandon Clarke,1629634,Precious Achiuwa,1630173,13.211596470766926,Gary Payton II,1627780,13.920659188994419,KJ Martin,1630231,14.05154917432374,Derrick Jones Jr.,1627884,15.004349621015557,Obi Toppin,1630167,15.123182005920427
Brandon Ingram,1627742,Paul George,202331,13.13481229463306,Paolo Banchero,1631094,13.324293945991739,Kevin Durant,201142,13.895147334453151,DeMar DeRozan,201942,15.75252162433811,Luka Dončić,1629029,15.949804839306855
Brandon Miller,1641706,CJ McCollum,203468,10.807312229373762,Brice Sensabaugh,1641729,11.318744184847313,Devin Vassell,1630170,11.455704351035754,Trey Murphy III,1630530,11.477302820759633,Shaedon Sharpe,1631101,11.510893669463266
